locationId,location,parameter,value,date/utc,date/local,unit,coordinates/latitude,coordinates/longitude,country,city,isMobile,isAnalysis,entity,sensorType,dayOfWeek
339545,Tunjuelito_Cemex,pm25,17.4,2023-02-06T09:53:31+00:00,2023-02-06T04:53:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,17,2023-02-06T09:51:31+00:00,2023-02-06T04:51:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,29.4,2023-02-06T09:49:31+00:00,2023-02-06T04:49:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,45.7,2023-02-06T09:47:34+00:00,2023-02-06T04:47:34-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,20.9,2023-02-06T09:45:31+00:00,2023-02-06T04:45:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,10,2023-02-06T09:43:31+00:00,2023-02-06T04:43:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,5.4,2023-02-06T09:41:31+00:00,2023-02-06T04:41:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,10.1,2023-02-06T09:39:31+00:00,2023-02-06T04:39:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,5.1,2023-02-06T09:37:31+00:00,2023-02-06T04:37:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,12.5,2023-02-06T09:35:31+00:00,2023-02-06T04:35:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,29.7,2023-02-06T09:33:31+00:00,2023-02-06T04:33:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,29.7,2023-02-06T09:31:31+00:00,2023-02-06T04:31:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,39.3,2023-02-06T09:29:31+00:00,2023-02-06T04:29:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,22.8,2023-02-06T09:27:31+00:00,2023-02-06T04:27:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,2.6,2023-02-06T09:25:31+00:00,2023-02-06T04:25:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,0.5,2023-02-06T09:23:31+00:00,2023-02-06T04:23:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,0.9,2023-02-06T09:21:30+00:00,2023-02-06T04:21:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,2.3,2023-02-06T09:19:30+00:00,2023-02-06T04:19:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,6.1,2023-02-06T09:17:30+00:00,2023-02-06T04:17:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,11.8,2023-02-06T09:15:31+00:00,2023-02-06T04:15:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,2.8,2023-02-06T09:13:31+00:00,2023-02-06T04:13:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,14.2,2023-02-06T09:11:31+00:00,2023-02-06T04:11:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,9.3,2023-02-06T09:09:30+00:00,2023-02-06T04:09:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,11.8,2023-02-06T09:07:30+00:00,2023-02-06T04:07:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,1.3,2023-02-06T09:05:30+00:00,2023-02-06T04:05:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,0,2023-02-06T09:03:30+00:00,2023-02-06T04:03:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,0.2,2023-02-06T09:01:30+00:00,2023-02-06T04:01:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,0,2023-02-06T08:59:30+00:00,2023-02-06T03:59:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,0.2,2023-02-06T08:57:30+00:00,2023-02-06T03:57:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,4.2,2023-02-06T08:55:30+00:00,2023-02-06T03:55:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,0.7,2023-02-06T08:53:30+00:00,2023-02-06T03:53:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,1,2023-02-06T08:51:30+00:00,2023-02-06T03:51:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,7.3,2023-02-06T08:49:30+00:00,2023-02-06T03:49:30-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
